,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV
2,01/01/2022,S8S115DZNFJH,CODDINGTON ROAD,,0,N,S21-00012,SATURDAY,06:00,61,77,5551
3,01/01/2022,S8S120DZMN8X,EAST SHORE DRIVE,,0,N,S22-00002,SATURDAY,00:24,61,77,5523
4,01/02/2022,S8S118DZS448,LUCE ROAD,TOWLINE ROAD,0,N,S22-00046,SUNDAY,09:21,66,77,5556
5,01/02/2022,S8S107DZT2VK,BOSTWICK ROAD,,0,N,S22-00060,SUNDAY,17:06,19,66,5553
6,01/02/2022,S8DEP2F0JKLV,BOSTWICK ROAD,,0,N,S22-00060,SUNDAY,17:06,19,66,5553
7,01/03/2022,S8S107DZX2TG,FALL CREEK ROAD,MAIN STREET,0,N,S22-00125,Monday,15:30,07,17,5521
8,01/03/2022,S8S114DZWG3T,WARREN ROAD,CHERRY ROAD,1,N,S21-00109,Monday,10:51,07,77,5556
9,01/04/2022,S8S114F01WKC,EAST SHORE DRIVE,,0,N,S22-00186,TUESDAY,20:07,61,77,5523
10,01/04/2022,S8S107F01MBB,AUBURN ROAD,,0,N,S22-00184,TUESDAY,18:02,61,77,5556
11,01/04/2022,S8DEP3F01M3P,WEST DANBY ROAD,,1,N,S22-00177,TUESDAY,15:37,02,77,5551
12,01/04/2022,S8S107F01PXZ,FALL CREEK ROAD,,0,N,S22-00185,TUESDAY,18:44,61,77,5552
13,01/05/2022,S8S118F03X9T,RIDGE ROAD,BECKWITH LN,1,N,S22-00210,Wednesday,11:04,13,77,5556
14,01/05/2022,S8S112F03WL9,LOCKE ROAD,,0,N,S22-00209,WEDNESDAY,10:54,19,77,5556
15,01/06/2022,S8S120F06H08,PERU SOUTH LANSING ROAD,,0,N,S22-00235,Thursday,06:15,10,77,5552
16,01/06/2022,S8S111F08L57,EAST SHORE DRIVE,,0,N,S22-00264,THURSDAY,22:17,61,77,5523
17,01/07/2022,S8S111F0C776,NORTH TRIPHAMMER ROAD,BUSH LANE,0,N,S22-00298,FRIDAY,18:01,61,77,5523
18,01/07/2022,S8S117F0BJVM,WEST JERSEY HILL RD,WEST KING RD,0,N,S21-00292,FRIDAY,12:36,19,77,5555
19,01/07/2022,S8S111F0CGTK,87 UPTOWN RD DRIVEWAY,UPTOWN RD.,0,N,S22-00301,Friday,19:52,66,77,5523
20,01/08/2022,S8S112F0GFR5,280 STEVENS ROAD,,0,N,S22-00340,SATURDAY,18:01,61,77,5554
21,01/10/2022,S8S114F0NR1H,SHELDON ROAD,,0,N,S21-00413,MONDAY,17:12,61,99,5552
22,01/10/2022,S8S117F0MBWC,HAYTS RD,,0,N,S22--00395,MONDAY,06:52,61,77,5553
23,01/11/2022,S8S107F0S47H,VIRGIL ROAD,,0,N,S22-00452,TUESDAY,18:41,19,66,5552
24,01/11/2022,S8S113F0QFGH,ENFIELD FALLS ROAD,,0,N,S22-00431,TUESDAY,06:04,19,77,5555
25,01/12/2022,S8S111F0W630,TRUMANSBURG ROAD,WOOLF LANE,0,N,S22-00494,WEDNESDAY,17:36,61,77,5555
26,01/12/2022,S80K91F0X0J3,GROTON ROAD,,0,N,S22-00503,WEDNESDAY,23:30,61,77,5552
27,01/12/2022,S8S108F0VP9W,ASBURY ROAD,W DRYDEN ROAD,0,N,S22-00488,Wednesday,13:59,05,18,5552
28,01/12/2022,S8DEP3F110H0,DRYDEN HARFORD ROAD,BEAM HILL ROAD,0,N,S22-00493,WEDNESDAY,17:49,61,77,5552
29,01/12/2022,S8S120F0VXDN,PERU SOUTH LANSING ROAD,,0,N,S22-00489,WEDNESDAY,15:09,61,77,5554
30,01/12/2022,S8S118F0W5GC,MECKLENBURG ROAD,ENFIELD MAIN ROAD,0,N,S22-00492,Wednesday,17:20,69,07,5553
31,01/13/2022,S8S111F10GQH,FALL CREEK ROAD,,0,N,S22-00546,THURSDAY,18:27,61,77,5552
