,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV,lat,long,seconds_since,month
0,01/01/2022,S8S115DZNFJH,CODDINGTON ROAD,,0,N,S21-00012,SATURDAY,06:00,61.0,77.0,5551,42.3641481,-76.4149224,21600.0,1
1,01/01/2022,S8S120DZMN8X,EAST SHORE DRIVE,,0,N,S22-00002,SATURDAY,00:24,61.0,77.0,5523,42.4977529,-76.5098078,1440.0,1
2,01/02/2022,S8S118DZS448,LUCE ROAD,TOWLINE ROAD,0,N,S22-00046,SUNDAY,09:21,66.0,77.0,5556,42.3849376,-76.5363865,33660.0,1
3,01/02/2022,S8S107DZT2VK,BOSTWICK ROAD,,0,N,S22-00060,SUNDAY,17:06,19.0,66.0,5553,42.4227499,-76.5793917,61560.0,1
4,01/02/2022,S8DEP2F0JKLV,BOSTWICK ROAD,,0,N,S22-00060,SUNDAY,17:06,19.0,66.0,5553,42.4227499,-76.5793917,61560.0,1
5,01/03/2022,S8S107DZX2TG,FALL CREEK ROAD,MAIN STREET,0,N,S22-00125,Monday,15:30,7.0,17.0,5521,42.4962636,-76.3709838,55800.0,1
6,01/03/2022,S8S114DZWG3T,WARREN ROAD,CHERRY ROAD,1,N,S21-00109,Monday,10:51,7.0,77.0,5556,42.5008179,-76.4788799,39060.0,1
7,01/04/2022,S8S114F01WKC,EAST SHORE DRIVE,,0,N,S22-00186,TUESDAY,20:07,61.0,77.0,5523,42.4977529,-76.5098078,72420.0,1
8,01/04/2022,S8S107F01MBB,AUBURN ROAD,,0,N,S22-00184,TUESDAY,18:02,61.0,77.0,5556,42.5823945,-76.4930027,64920.0,1
9,01/04/2022,S8DEP3F01M3P,WEST DANBY ROAD,,1,N,S22-00177,TUESDAY,15:37,2.0,77.0,5551,42.3406625,-76.5354786,56220.0,1
10,01/04/2022,S8S107F01PXZ,FALL CREEK ROAD,,0,N,S22-00185,TUESDAY,18:44,61.0,77.0,5552,42.5286482,-76.3187472,67440.0,1
11,01/05/2022,S8S118F03X9T,RIDGE ROAD,BECKWITH LN,1,N,S22-00210,Wednesday,11:04,13.0,77.0,5556,42.5590596,-76.5558728,39840.0,1
12,01/05/2022,S8S112F03WL9,LOCKE ROAD,,0,N,S22-00209,WEDNESDAY,10:54,19.0,77.0,5556,42.6152332,-76.4717375,39240.0,1
13,01/06/2022,S8S120F06H08,PERU SOUTH LANSING ROAD,,0,N,S22-00235,Thursday,06:15,10.0,77.0,5552,-9.189967,-75.015152,22500.0,1
14,01/06/2022,S8S111F08L57,EAST SHORE DRIVE,,0,N,S22-00264,THURSDAY,22:17,61.0,77.0,5523,42.4977529,-76.5098078,80220.0,1
15,01/07/2022,S8S111F0C776,NORTH TRIPHAMMER ROAD,BUSH LANE,0,N,S22-00298,FRIDAY,18:01,61.0,77.0,5523,42.494909,-76.4841414,64860.0,1
16,01/07/2022,S8S117F0BJVM,WEST JERSEY HILL RD,WEST KING RD,0,N,S21-00292,FRIDAY,12:36,19.0,77.0,5555,42.3959538,-76.5216888,45360.0,1
17,01/07/2022,S8S111F0CGTK,87 UPTOWN RD DRIVEWAY,UPTOWN RD.,0,N,S22-00301,Friday,19:52,66.0,77.0,5523,42.4797935,-76.4727817,71520.0,1
18,01/08/2022,S8S112F0GFR5,280 STEVENS ROAD,,0,N,S22-00340,SATURDAY,18:01,61.0,77.0,5554,42.564341,-76.3074089,64860.0,1
19,01/10/2022,S8S114F0NR1H,SHELDON ROAD,,0,N,S21-00413,MONDAY,17:12,61.0,99.0,5552,42.4637963,-76.4816764,61920.0,1
20,01/10/2022,S8S117F0MBWC,HAYTS RD,,0,N,S22--00395,MONDAY,06:52,61.0,77.0,5553,42.4665444,-76.5871689,24720.0,1
21,01/11/2022,S8S107F0S47H,VIRGIL ROAD,,0,N,S22-00452,TUESDAY,18:41,19.0,66.0,5552,42.4906061,-76.2710632,67260.0,1
22,01/11/2022,S8S113F0QFGH,ENFIELD FALLS ROAD,,0,N,S22-00431,TUESDAY,06:04,19.0,77.0,5555,42.4061947,-76.5822069,21840.0,1
23,01/12/2022,S8S111F0W630,TRUMANSBURG ROAD,WOOLF LANE,0,N,S22-00494,WEDNESDAY,17:36,61.0,77.0,5555,42.477703,-76.552922,63360.0,1
