,Count Location,FROM,TO,AADT,lat,long,slat,slong,flat,flong
0,Albany St,Traffic Circle,Titus Ave S,"3,239",42.439071150000004,-76.50166885,42.4439614,-76.5018807,42.4341809,-76.501457
1,Albany St,Titus Ave S,Titus Ave N,"1,864",42.4341809,-76.501457,42.4341809,-76.501457,42.4341809,-76.501457
2,Asbury Rd,Rt 34,Warren Rd,"1,434",42.52490565,-76.4864382,42.525045,-76.500204,42.5247663,-76.4726724
3,Aurora St,Lincoln St,Falls St,247,42.452453000000006,-76.49660245,42.452093,-76.4965809,42.45281300000001,-76.496624
4,Aurora St,Marshall St,Lincoln St,"1,371",42.449139,-76.49628045,42.44618500000001,-76.49598,42.452093,-76.4965809
5,Aurora St,Seneca St,Court St,"4,079",42.441588100000004,-76.49574165,42.4405012,-76.49569129999999,42.442675,-76.49579200000001
6,Aurora St,Prospect St,State St,"6,746",42.4386311,-76.49521134999999,42.4376152,-76.49479029999999,42.439647,-76.49563239999999
7,Aurora St,Court St,Marshall St,"1,800",42.444430000000004,-76.49588600000001,42.442675,-76.49579200000001,42.44618500000001,-76.49598
8,Bald Hill Rd,Comfort Rd,Rt 96B,139,42.33939015,-76.48937649999999,42.3263008,-76.4979506,42.3524795,-76.4808024
9,Benson Rd,Rt 34B,Asbury Rd,338,42.531925449999996,-76.47326989999999,42.5391917,-76.4712818,42.52465919999999,-76.475258
10,Bill George Rd,Lansing Station Rd,End,1,42.5087017,-76.55280884999999,42.573442,-76.603737,42.4439614,-76.5018807
11,Bostwick Rd,Enfield T/L,Rt 13A,"2,606",42.43320165,-76.51552269999999,42.4439614,-76.5018807,42.4224419,-76.5291647
12,Brickyard Rd,Rt 34B,Ludlowville Rd,874,42.54642405,-76.53126864999999,42.5434071,-76.52496839999999,42.549441,-76.5375689
13,Bridge St,Main St,Bank St,191,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
14,Brook Rd,Rt 227,Waterburg Rd,60,42.46504605,-76.58766965000001,42.4439614,-76.5018807,42.4861307,-76.6734586
15,Brooktondale Rd,Valley Rd,Rt 79,"2,019",42.3955804,-76.41595584999999,42.3885693,-76.408205,42.4025915,-76.4237067
16,Brown Rd,Newfield T/L,Coltsfoot Ln,69,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
17,Brown Rd,Rt 96,Danby T/L,131,42.394070150000005,-76.5278155,42.4412333,-76.514862,42.346907,-76.540769
18,Buck Rd,Brickyard Rd,Conlon Rd,278,42.549626950000004,-76.5203845,42.5438649,-76.525206,42.555389,-76.515563
19,Buffalo Rd,Central Chapel Rd,Rt 79,613,42.3813887,-76.34922639999999,42.3689288,-76.3533861,42.39384860000001,-76.34506669999999
20,Buffalo St,Meadow St,Plain St,"5,400",42.441102349999994,-76.5062207,42.4410427,-76.5084255,42.441162,-76.5040159
21,Buffalo St,Albany St,Cayuga St,"2,989",42.44127195,-76.50045850000001,42.441232,-76.501811,42.4413119,-76.499106
22,Buffalo St,Aurora St,Seneca St,"3,209",42.4409896,-76.49444055000001,42.441406,-76.4957309,42.4405732,-76.4931502
23,Buffalo St,Cayuga St N,Aurora St,"4,367",42.44135895,-76.49741845,42.4413119,-76.499106,42.441406,-76.4957309
24,Burns Rd,Coddington Rd,Rt 79,"2,389",42.408989049999995,-76.45606595,42.40339789999999,-76.463574,42.4145802,-76.4485579
25,Buttermilk Falls Pk Rd,Buttermilk Falls Rd E,End,56,42.41185965,-76.51784225,42.4177012,-76.5234175,42.4060181,-76.512267
26,Caldwell Rd,Rt 366,Forest Home Dr,"3,347",42.445723,-76.47756905,42.440864,-76.4780901,42.450582,-76.477048
27,Cascadilla St,Fulton St,Cayuga St,"2,745",42.44444635,-76.50463275,42.4442958,-76.5099965,42.4445969,-76.499269
28,Cayuga Hgts Rd,Ithaca C/L,Cayuga Hgts V/L,"1,339",42.45808605,-76.4989841,42.439535,-76.499021,42.4766371,-76.4989472
29,Cayuga Hgts Rd,Cedar Ln,Oakcrest Rd,"1,068",42.48418875,-76.5031896,42.4809136,-76.5019528,42.4874639,-76.5044264
30,Cayuga Hgts Rd,Oakcrest Rd,Rt 34,674,42.49217035,-76.5072555,42.4874639,-76.5044264,42.4968768,-76.5100846
31,Cayuga Hgts Rd,Cayuga Hgts V/L,Cedar Ln,"1,728",42.47877535,-76.50045,42.4766371,-76.4989472,42.4809136,-76.5019528
32,Cayuga St,Green St,State St,"4,839",42.43907999999999,-76.49900034999999,42.43862499999999,-76.49897969999999,42.439535,-76.499021
33,Cayuga St,Spencer Rd,Green St,"7,922",42.43662124999999,-76.49892295000001,42.43461749999999,-76.49886620000001,42.43862499999999,-76.49897969999999
34,Cayuga St,Cascadilla St,Farm St,"4,553",42.44476795,-76.49927045,42.4445969,-76.499269,42.444939,-76.4992719
35,Cayuga St,Woodland Pl,Ithaca C/L,"2,119",42.446861999999996,-76.499449,42.454189,-76.499877,42.439535,-76.499021
36,Cayuga St N,Farm St,Jay St,"6,153",42.44782845,-76.49836694999999,42.445004,-76.4970879,42.4506529,-76.499646
