,reasons,time_occured,time_reported,comments,incident_address
0,Domestic,23:32:09 10/31/22 - 23:34:07 10/31/22,23:32:09, ,ENFIELD FALLS RD; T ITHACA ITHACA NY 14850
1,Traffic Offense,23:19:50 10/31/22 - 23:19:50 10/31/22,23:19:50, ,BLOCK TRUMANSBURG RD; T ITHACA ITHACA NY 14850
2,Traffic Offense,23:09:41 10/31/22 - 23:09:41 10/31/22,23:09:41,  Traffic Stop,STATE ROUTE 13 & WILLOW AVE; C ITHACA ITHACA NY 14850
3,Alarm Police,23:04:56 10/31/22 - 23:06:10 10/31/22,23:04:56,  Alarm activation,PLEASANT VALLEY RD; T GROTON GROTON NY 13073
4,Traffic Offense,22:55:28 10/31/22 - 22:55:28 10/31/22,22:55:28, ,STATE ROUTE 13 N & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
5,Traffic Offense,22:46:23 10/31/22 - 22:46:23 10/31/22,22:46:23, ,WARREN RD; NORTH WOOD APTS; V LANSING ITHACA NY 14850
6,Traffic Offense,22:41:00 10/31/22 - 22:41:00 10/31/22,22:41:00, ,STATE ROUTE 13 & BROWN RD; V LANSING ITHACA NY 14850
7,Traffic Offense,22:29:42 10/31/22 - 22:29:42 10/31/22,22:29:42, ,GRAHAM RD & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
8,Dispute,22:19:39 10/31/22 - 22:25:32 10/31/22,22:19:39,  Verbal Dispute,ENFIELD MAIN RD; T ENFIELD ITHACA NY 14850
9,Traffic Offense,22:15:47 10/31/22 - 22:15:47 10/31/22,22:15:47,  TCSO conducted traffic stop for VTL Violation.,RAILROAD ST; V FREEVILLE FREEVILLE NY 13068
10,Traffic Offense,22:10:14 10/31/22 - 22:10:14 10/31/22,22:10:14,  Traffic stop,ELMIRA RD & MAZOUREK RD; T NEWFIELD NEWFIELD NY 14867
11,Alarm Police,22:08:31 10/31/22 - 22:09:02 10/31/22,22:08:31, ,SEVEN MILE DR; T ITHACA ITHACA NY 14850
12,Traffic Offense,22:06:43 10/31/22 - 22:06:43 10/31/22,22:06:43,  Traffic Stop,FIVE MILE DR & ITHACA BEER DR; T ITHACA ITHACA NY 14850
13,Traffic Offense,21:42:44 10/31/22 - 21:42:44 10/31/22,21:42:44, ,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850
14,Traffic Offense,21:38:15 10/31/22 - 21:38:15 10/31/22,21:38:15,  Traffic Stop,CRAFT RD & N TRIPHAMMER RD; V LANSING ITHACA NY 14850
15,Traffic Offense,21:37:16 10/31/22 - 21:37:16 10/31/22,21:37:16,  Traffic Stop,FIVE MILE DR & ITHACA BEER DR; T ITHACA ITHACA NY 14850
16,Traffic Offense,21:35:25 10/31/22 - 21:35:25 10/31/22,21:35:25, ,DRYDEN RD & MAIN ST; T DRYDEN FREEVILLE NY 13068
17,Traffic Offense,21:33:53 10/31/22 - 21:33:53 10/31/22,21:33:53,  Traffic Stop,STATE ROUTE 13 S & WARREN RD; V LANSING ITHACA NY 14850
18,Traffic Offense,21:28:20 10/31/22 - 21:28:20 10/31/22,21:28:20,  Traffic Stop,WARREN RD & DUTCH MILL RD; T LANSING ITHACA NY 14850
19,Traffic Offense,21:26:22 10/31/22 - 21:26:22 10/31/22,21:26:22, ,STATE ROUTE 13 N & CAYUGA HEIGHTS RD; V LANSING ITHACA NY 14850
20,Traffic Offense,21:18:32 10/31/22 - 21:18:32 10/31/22,21:18:32, ,CASCADILLA ST & N FULTON ST; C ITHACA ITHACA NY 14850
21,Traffic Offense,21:08:17 10/31/22 - 21:08:17 10/31/22,21:08:17, ,BLOCK ELMIRA RD; T NEWFIELD NEWFIELD NY 14867
22,Traffic Offense,21:03:11 10/31/22 - 21:03:11 10/31/22,21:03:11,  traffic stop,WARREN RD & TIGER LILY LN; T LANSING ITHACA NY 14850
23,Traffic Offense,21:00:06 10/31/22 - 21:00:06 10/31/22,21:00:06, ,ELMIRA RD & MILLARD HILL RD; T NEWFIELD NEWFIELD NY 14867
