,Count Location,FROM,TO,AADT,lat,long
0,Albany St,Traffic Circle,Titus Ave S,"3,239",42.439071150000004,-76.50166885
1,Albany St,Titus Ave S,Titus Ave N,"1,864",42.4341809,-76.501457
2,Asbury Rd,Rt 34,Warren Rd,"1,434",42.52490565,-76.4864382
3,Aurora St,Lincoln St,Falls St,247,42.452453000000006,-76.49660245
4,Aurora St,Marshall St,Lincoln St,"1,371",42.449139,-76.49628045
5,Aurora St,Seneca St,Court St,"4,079",42.441588100000004,-76.49574165
6,Aurora St,Prospect St,State St,"6,746",42.4386311,-76.49521134999999
7,Aurora St,Court St,Marshall St,"1,800",42.444430000000004,-76.49588600000001
8,Bald Hill Rd,Comfort Rd,Rt 96B,139,42.33939015,-76.48937649999999
9,Benson Rd,Rt 34B,Asbury Rd,338,42.531925449999996,-76.47326989999999
10,Bill George Rd,Lansing Station Rd,End,1,42.5087017,-76.55280884999999
11,Bostwick Rd,Enfield T/L,Rt 13A,"2,606",42.43320165,-76.51552269999999
12,Brickyard Rd,Rt 34B,Ludlowville Rd,874,42.54642405,-76.53126864999999
13,Bridge St,Main St,Bank St,191,42.4439614,-76.5018807
14,Brook Rd,Rt 227,Waterburg Rd,60,42.46504605,-76.58766965000001
15,Brooktondale Rd,Valley Rd,Rt 79,"2,019",42.3955804,-76.41595584999999
16,Brown Rd,Newfield T/L,Coltsfoot Ln,69,42.4439614,-76.5018807
17,Brown Rd,Rt 96,Danby T/L,131,42.394070150000005,-76.5278155
18,Buck Rd,Brickyard Rd,Conlon Rd,278,42.549626950000004,-76.5203845
19,Buffalo Rd,Central Chapel Rd,Rt 79,613,42.3813887,-76.34922639999999
20,Buffalo St,Meadow St,Plain St,"5,400",42.441102349999994,-76.5062207
21,Buffalo St,Albany St,Cayuga St,"2,989",42.44127195,-76.50045850000001
22,Buffalo St,Aurora St,Seneca St,"3,209",42.4409896,-76.49444055000001
23,Buffalo St,Cayuga St N,Aurora St,"4,367",42.44135895,-76.49741845
24,Burns Rd,Coddington Rd,Rt 79,"2,389",42.408989049999995,-76.45606595
25,Buttermilk Falls Pk Rd,Buttermilk Falls Rd E,End,56,42.41185965,-76.51784225
26,Caldwell Rd,Rt 366,Forest Home Dr,"3,347",42.445723,-76.47756905
27,Cascadilla St,Fulton St,Cayuga St,"2,745",42.44444635,-76.50463275
28,Cayuga Hgts Rd,Ithaca C/L,Cayuga Hgts V/L,"1,339",42.45808605,-76.4989841
29,Cayuga Hgts Rd,Cedar Ln,Oakcrest Rd,"1,068",42.48418875,-76.5031896
30,Cayuga Hgts Rd,Oakcrest Rd,Rt 34,674,42.49217035,-76.5072555
31,Cayuga Hgts Rd,Cayuga Hgts V/L,Cedar Ln,"1,728",42.47877535,-76.50045
32,Cayuga St,Green St,State St,"4,839",42.43907999999999,-76.49900034999999
33,Cayuga St,Spencer Rd,Green St,"7,922",42.43662124999999,-76.49892295000001
34,Cayuga St,Cascadilla St,Farm St,"4,553",42.44476795,-76.49927045
35,Cayuga St,Woodland Pl,Ithaca C/L,"2,119",42.446861999999996,-76.499449
36,Cayuga St N,Farm St,Jay St,"6,153",42.44782845,-76.49836694999999
37,Cemetery Ln,Salt Rd,Stevens Rd,119,42.4439614,-76.5018807
38,Cemetery St,Trumansburg V/L,Lake St,594,42.49466845,-76.5710334
39,Central Chapel Rd,Creamery Rd,Boiceville Rd,"1,031",42.3828166,-76.3578288
40,Central Chapel Rd,Burns Rd,Creamery Rd,"1,272",42.379567800000004,-76.3553692
41,Central Chapel Rd,Bailor Rd,Burns Rd,"1,073",42.375691950000004,-76.35421944999999
42,Central Chapel Rd,Grove School Rd,Bailor Rd,"1,166",42.37122325,-76.35325245
43,Chaffee Creek Rd,Bull Hill Rd,Van Kirk Rd,2,42.3148765,-76.62735465
44,Cobb Rd,Rt 34B,Groton T/L,155,42.52409085,-76.47342115000001
45,Count Location,FROM,TO,AADT,42.4439614,-76.5018807
46,Cobb St,Sovocool Hill Rd,Talmadge Rd,626,42.593234100000004,-76.44455965
47,Cobb St,Drdyen T/L,Pleasant Valley Rd,342,42.50237385,-76.4725578
48,Cobb St,Pleasant Valley Rd,Sovocol Hill Rd,595,42.5678745,-76.44348274999999
49,Coddington Rd,King Rd,Ithaca C/L,"1,287",42.41196645,-76.4806452
50,Coddington Rd,Ithaca T/L,King Rd E,"1,414",42.38407905,-76.43963919999999
51,Coddington Rd,Caroline T/L,Ithaca T/L,"1,414",42.391949249999996,-76.4559701
52,College Ave,Oak Ave,Campus Rd,"3,114",42.443896699999996,-76.48238525
53,Columbia St,Hudson St,Giles St,"2,878",42.4363179,-76.4911677
54,Comfort Rd,Jersey Hill Rd,Rt 96B,646,42.386612650000004,-76.503256
55,Connecticut Hill Rd,Rt 13,Alpine Rd,27,42.325417949999995,-76.67221425
56,Cornell St,State St,Dryden Rd,"1,619",42.43694195,-76.4779953
57,Court St,Meadow St,Plain St,"1,497",42.442387450000005,-76.50628615
58,Court St,Albany St,Aurora St,"1,156",42.44259445,-76.498834
59,Court St,Aurora St,Linn St,"1,361",42.442694,-76.495206
60,Creamery Rd,Central Chapel Rd,Rt 79,242,42.38687180000001,-76.35306445
61,Culligan Dr,Brown Rd,Brown Rd,191,42.4873907,-76.4640916
62,Dey St,Auburn St,Rt 13,"1,422",42.45007394999999,-76.50209735
63,Dodge Rd,Ellis Hollow Rd,Stevenson Rd,75,42.435753500000004,-76.4251708
64,Dryden Rd,College Ave,Maple Ave,"3,215",42.441386449999996,-76.4814653
65,Dryden Rd,Eddy St,College Ave,"2,809",42.441873949999994,-76.4863699
66,Dug Rd,Mill St,End,62,42.4439614,-76.5018807
67,East Shore Dr,Cayuga St,Rt 13,"7,821",42.46248715,-76.4982166
68,East Shore Dr,Ithaca C/L,Cayuga St N,"4,016",42.44114245,-76.4975412
69,Eddy St,State St,Williams St,"2,154",42.440190099999995,-76.48746754999999
70,Ellis Hollow Rd,Rt 79,Caroline T/L,"1,318",42.406696999999994,-76.43212985
71,Ellis Hollow Rd,Caroline T/L,Ringwood Rd,"1,673",42.4260501,-76.44194554999999
72,Ellis Hollow Rd,Thomas Rd,Ellis Hollow Crk Rd,"1,546",42.42556315,-76.38571385
73,Ellis Hollow Rd,Ithaca T/L,Thomas Rd,"2,433",42.42660275,-76.40078065
74,Elm St,Haller Blvd,Chestnut St,"1,692",42.437130499999995,-76.52271045
75,Elm St Ext,Champlin Rd,Lafayette Rd,148,42.58596789999999,-76.29389065000001
76,Elmira Rd,Plain St,Traffic Circle,"11,756",42.43730825,-76.50268825
77,Elmira Rd,Meadow St,Plain St,"12,822",42.42952475,-76.5057927
78,Enfield Center Rd,Enfield Main Rd,Shudaben Rd,306,42.4359915,-76.6281554
79,Etna Ln,Rt 366,Rt 13,221,42.4826379,-76.38005079999999
80,Etna Rd,Hanshaw Rd,Upper Creek Rd,"1,285",42.487306450000005,-76.4081132
81,Fall Creek Rd,Cady Ln,North Rd,"4,360",42.48700335,-76.406117
82,Fall Creek Rd,Freeville V/L,Cady Ln,"3,559",42.5175917,-76.33603360000001
83,Farrell Rd,Warren Rd,Dryden T/L,"1,294",42.51519695,-76.46216045
84,Ferguson Rd,South St,Dryden V/L,"1,394",42.43792985,-76.49559285000001
85,Forest Home Dr,Thurston Ave,Ithaca C/L,"1,466",42.435607450000006,-76.48951075
86,Forest Home Dr,Rt 366,Ithaca T/L,691,42.452780950000005,-76.45418215000001
87,Forest Home Dr,Ithaca C/L,Warren Rd,"2,771",42.43596545,-76.48266720000001
88,Forest Home Dr,Warren Rd,Caldwell Rd,"3,672",42.45146544999999,-76.46716395
89,Freese Rd,Hanshaw Rd,Rt 366,"2,129",42.4618099,-76.44234614999999
90,Game Farm Rd,Ithaca T/L,King Rd E,"1,804",42.419957600000004,-76.51178475
91,Count Location,FROM,TO,AADT,42.4439614,-76.5018807
92,Game Farm Rd,Ellis Hollow Rd,Stephenson Rd,"1,456",42.363065000000006,-76.46104985
93,Gardner Parkway,Stewart Park Rd,James L Gibbs Rd,"2,274",42.4622186,-76.50082455
94,Genung Rd,Ellis Hollow Rd,Ellis Hollow Cir,313,42.42811,-76.4151806
95,George Rd,Rt 38,Rt 13,"1,433",42.4439614,-76.5018807
96,Giles St,Water St,State St,"2,594",42.43296895,-76.48122645000001
97,Giles St,Hudson St,Columbia St,423,42.43737135,-76.49153625
98,Glenwood Rd,Rt 89,Rt 89,58,42.453904,-76.5173949
99,Groton City Rd,Hinman Rd,Champlin Rd,171,42.61616335,-76.2902448
100,Hancock St,Meadow St N,Auburn St,"1,689",42.4467676,-76.50469595
101,Hanshaw Rd,Rt 13,Etna Rd,"1,635",42.482114100000004,-76.4312966
102,Hanshaw Rd,Warren Rd,Rt 13,"1,850",42.4723939,-76.4486241
103,Hanshaw Rd,Cayuga Hgts V/L,Warren Rd,"4,693",42.46366995000001,-76.47899000000001
104,Hanshaw Rd,N Triphammer Rd,Cayuga Hgts V/L,"9,196",42.465149800000006,-76.48613415
105,Hanshaw Rd,Cayuga Hgts Rd,N Triphammer Rd,934,42.465149800000006,-76.48613415
106,Harford Rd,Rt 79,County Line,622,42.417924049999996,-76.4204813
107,Herman Rd,Rt 38,Fall Creek Rd,689,42.4809177,-76.41873375
108,Hillview Rd,Rt 34 96,Michigan Hollow Rd,208,42.287692,-76.505942
109,Hines Rd,Trumbulls Cor Rd,Rt 327,148,42.345836250000005,-76.54752915
110,Hoy Rd,Campus Rd,Dryden Rd,"2,914",42.44423975,-76.4789015
111,Hudson St,Coddington Rd,Prospect St,"5,584",42.43340595000001,-76.4919835
112,Hudson St,Prospect St,Aurora St,"2,145",42.43803940000001,-76.493867
113,Jacksonville Rd,Rt 96,Taughaanock Park Rd,760,42.5219079,-76.6141215
114,Jersey Hill Rd,Town Line Rd,King Rd W,424,42.38063495,-76.52678900000001
115,Jersey Hill Rd,Comfort Rd,Gunderman Rd,220,42.368779450000005,-76.515607
116,Johnson St,Main St,Freeville V/L,625,42.4789611,-76.42424105
117,Judd Falls Rd,Dryden Rd,Tower Rd,"4,725",42.44567365,-76.46928109999999
118,Judd Falls Rd,Tower Rd,Forest Home Dr,"4,229",42.450233499999996,-76.47075899999999
119,King Rd E,Rt 96B,Coddington Rd,"2,532",42.42501005,-76.49255105
120,King Rd W,Stone Quarry Rd,Rt 96B,"3,993",42.4246706,-76.50449615
121,King Rd W,Danby T/L,Buttermilk Falls Rd,"1,046",42.41301925,-76.5136479
122,Kraft Rd,Dubois Rd,Rt 89,200,42.52280435,-76.57425075
123,Ladoga Park Rd,Myers Rd,End,97,42.4897392,-76.52740825000001
124,Ladoga Park West,Myers Rd,Ladoga Park East,32,42.53629994999999,-76.54088445
125,Lafayette Rd,Cemetery Rd,Rt 222,284,42.44344285,-76.3803988
126,Lake St,University Ave,Falls St,"3,090",42.451292699999996,-76.4933833
127,Lake St,Falls St,Ithaca C/L,"3,324",42.43640545,-76.4958022
128,Lake St,Rt 96,Trumansburg V/L,542,42.45357065,-76.50845645000001
129,Lansingville Rd,Rt 34B,County Line,963,42.57364105,-76.55089240000001
130,Lewis St,West Main St,Freeville Rd,622,42.4789611,-76.42424105
131,Lincoln St,Cayuga St,Lake St,"2,127",42.452069550000004,-76.49717285
132,Linn St,Court St E,End,324,42.445037,-76.49471750000001
133,Locke Rd,Rt 34,Breed Rd,"1,475",42.61177105,-76.48758959999999
134,Lockerby Hill Rd,Lansingville Rd,Salmon Creek Rd,316,42.593738,-76.543757
135,Lounsberry Rd,Valley Rd,Rt 79,824,42.38800239999999,-76.38165685
136,Lounsbery Rd,White Church Rd,Brooktondale Rd,"1,104",42.381867400000004,-76.3880095
137,Count Location,FROM,TO,AADT,42.4439614,-76.5018807
138,Lower Creek Rd,Hanshaw Rd,Etna Ln,412,42.47874845,-76.4078356
139,Madison St,Willow Ave,Second St,412,42.44806065,-76.50344279999999
140,Main St - Newfield,Shaffer Rd,Rt 13,"2,114",42.3606672,-76.593516
141,Main St - Newfield,Rt 13,Shaffer Rd,"1,685",42.3606672,-76.593516
142,Maple Ave,Dryden Rd,Ithaca C/L,"2,574",42.4411589,-76.4776807
143,Maple Ave,Ithaca C/L,Pine Tree Rd,"1,811",42.4406187,-76.47200385
144,McLean-Cortland Rd,Gulf Hill Rd,County Line,"5,953",42.48951845,-76.38506575
145,Middaugh Rd,Coddington Rd,Brooktondale Rd,825,42.3813974,-76.41450019999999
146,Mill Rd,Old 76 Rd,County Line,465,42.4439614,-76.5018807
147,Mill St,Freeville V/L,West Dryden Rd,366,42.516245999999995,-76.3546559
148,Mill St,Ferguson Rd,West Main St,397,42.4439614,-76.5018807
149,Milliken Station Rd,Miliken Station Rd Ext,Cayuga Dr,62,42.606275600000004,-76.61958135
150,Mitchell St,Ithaca Rd,Ithaca C/L,"3,348",42.4375651,-76.4817229
151,Mitchell St,Ithaca C/L,Pine Tree Rd,"3,290",42.43692515,-76.47312224999999
152,Morrell Rd,Cayuta Rd,End,17,42.36587715,-76.59604615
153,N Triphammer Rd,Rt 34B,Rt 34,"5,257",42.539309149999994,-76.49286115
154,N Triphammer Rd,Waterwagon Rd,Rt 34B,"6,607",42.5272864,-76.49196045000001
155,N Triphammer Rd,Lansing V/L,Waterwagon Rd,"6,366",42.510805149999996,-76.49105020000002
156,Newfield Depot Rd,Main St,Adams Rd,512,42.40456915,-76.53437485
157,North Rd,Rt 13,Fall Creek Rd,"1,302",42.44758025,-76.49874175
158,Old 76 Rd,County Line,Mill Rd,374,42.36847875,-76.48779275
159,Old 76 Rd,Mill St,Smith Rd,451,42.4439614,-76.5018807
160,Old Peruville Rd,Sobers Rd,Pleasant Valley Rd,246,42.5495904,-76.3712878
161,Old Peruville Rd,Pleasant Valley Rd,Peruville Rd,452,42.54980319999999,-76.36399420000001
162,Old Stage Rd,Champlin Rd,Groton City Rd,531,42.60329329999999,-76.28880525
163,Old Stage Rd,Rt 38,Salt Rd,698,42.6032235,-76.35007569999999
164,Park Rd,Cliff St,End,322,42.4452652,-76.5156765
165,Park Rd,Enfield Falls Rd,Woodward Rd,204,42.3503851,-76.5363517
166,Perry City Rd,Halseyville Rd,Rt 96,"1,707",42.49518395,-76.6149397
167,Peruville Rd,Rt 38,Fall Creek Rd,"3,118",42.5489356,-76.32774065000001
168,Pinckney Rd,Rt 13,Etna Rd,927,42.47871685,-76.4069277
169,Pine Tree Rd,Rt 79,Ellis Hollow Rd,"7,264",42.42932755,-76.46304465
170,Pine Tree Rd,Ellis Hollow Rd,Rt 366,"6,684",42.4399754,-76.4674548
171,Plain St,Elmira Rd,Titus Ave N,"1,518",42.43225255,-76.5035709
172,Plain St,Buffalo St,Court St,"2,366",42.441805450000004,-76.50404895
173,Plain St N,Buffalo St W,Seneca St W,"1,829",42.4407063,-76.50399525
174,Plain St S,Green St,Buffalo St,"1,866",42.43981865,-76.50394854999999
175,Plain St S,Titus Ave N,Green St,"1,382",42.43616265,-76.5037636
176,Pleasant Grove Rd,Forest Home Dr,Cayuga Hgts V/L,"6,410",42.4564319,-76.4783432
177,Pleseant Grove Rd,Hanshaw Rd,Cayuga Hgts V/L,"4,582",42.4640895,-76.4823972
