,reasons,time_occured,time_reported,comments,incident_address,lat,long,time_started,time_ended,reasons_processed,month,hour,time_processed,seconds_since
0,Traffic Cmplnt,21:44:56 07/31/21 - 21:47:55 07/31/21,21:44:56,  Deputy responded to a traffic complaint.,ELMIRA RD; RODEWAY INN ITHACA; T ITHACA ITHACA NY 14850,42.362536,-76.5957859,2021-07-31 21:44:56,2021-07-31 21:47:55,Traffic Complaint,7,21,21:44:56,78296
1,Traffic Offense,18:07:24 07/31/21 - 18:07:24 07/31/21,18:07:24,  Deputy conducted a traffic stop.,ELMIRA RD; C ITHACA ITHACA NY 14850,42.362536,-76.5957859,2021-07-31 18:07:24,2021-07-31 18:07:24,Traffic Offense,7,18,18:07:24,65244
2,Traffic Offense,17:30:55 07/31/21 - 17:30:55 07/31/21,17:30:55,  Deputy conducted a traffic stop.,FLORAL AVE # 408; CEDAR CREEK APTS; C ITHACA ITHACA NY 14850,42.4300654,-76.5246524,2021-07-31 17:30:55,2021-07-31 17:30:55,Traffic Offense,7,17,17:30:55,63055
3,Traffic Offense,17:16:25 07/31/21 - 17:16:25 07/31/21,17:16:25, ,BLOCK MECKLENBURG RD; T ITHACA ITHACA NY 14850,42.451756,-76.6057896,2021-07-31 17:16:25,2021-07-31 17:16:25,Traffic Offense,7,17,17:16:25,62185
4,Traffic Offense,01:40:20 07/31/21 - 01:40:20 07/31/21,01:40:20,  Traffic stop.,EAST SHORE DR; ROGUES HARBOR; T LANSING LANSING NY 14882,42.5295934,-76.500964,2021-07-31 01:40:20,2021-07-31 01:40:20,Traffic Offense,7,1,01:40:20,6020
5,Traffic Offense,00:28:31 07/31/21 - 00:28:31 07/31/21,00:28:31,  Traffic stop.,BLOCK TRUMANSBURG RD; T ULYSSES ITHACA NY 14850,42.4914674,-76.5883927,2021-07-31 00:28:31,2021-07-31 00:28:31,Traffic Offense,7,0,00:28:31,1711
6,Traffic Offense,00:26:19 07/31/21 - 00:26:19 07/31/21,00:26:19,  Traffic stop.,RIDGE RD & CONLON RD; T LANSING LANSING NY 14882,42.5379939,-76.5077246,2021-07-31 00:26:19,2021-07-31 00:26:19,Traffic Offense,7,0,00:26:19,1579
7,Traffic Offense,00:23:06 07/31/21 - 00:23:06 07/31/21,00:23:06,  Traffic stop.,TRUMANSBURG RD & HAYTS RD; T ITHACA ITHACA NY 14850,42.468233,-76.5422748,2021-07-31 00:23:06,2021-07-31 00:23:06,Traffic Offense,7,0,00:23:06,1386
8,Traffic Offense,18:22:24 07/30/21 - 18:22:24 07/30/21,18:22:24,  Traffic stop. RPS/1234,N TRIPHAMMER RD & PERUVILLE RD; T LANSING LANSING NY 14882,42.5384399,-76.4926385,2021-07-30 18:22:24,2021-07-30 18:22:24,Traffic Offense,7,18,18:22:24,66144
9,Traffic Offense,21:34:23 07/29/21 - 21:34:23 07/29/21,21:34:23,  Traffic stop.,TRUMANSBURG RD & KRUMS CORNERS RD; T ULYSSES ITHACA NY 14850,42.486113,-76.57343449999999,2021-07-29 21:34:23,2021-07-29 21:34:23,Traffic Offense,7,21,21:34:23,77663
10,Traffic Offense,20:46:16 07/29/21 - 20:46:16 07/29/21,20:46:16,  Traffic stop.,DANBY RD; MIRABITO; T ITHACA ITHACA NY 14850,42.3587467,-76.4833869,2021-07-29 20:46:16,2021-07-29 20:46:16,Traffic Offense,7,20,20:46:16,74776
11,Traffic Offense,19:00:42 07/28/21 - 19:00:42 07/28/21,19:00:42,  Deputy conducted a traffic stop and made an arrest.,FAIRGROUNDS MEMORIAL PKWY; WALMART; C ITHACA ITHACA NY 14850,42.4301747,-76.5112134,2021-07-28 19:00:42,2021-07-28 19:00:42,Traffic Offense,7,19,19:00:42,68442
